Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Kalyanpur,471,69,69,111,108,8385382,8144324,19231,241058,4735326,344,3279838,5692677,5692677,283201000,302879851
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Gabtoli-2,472,116,89,172,137,11578559,10939914,48982,638645,10534792,895,5831411,13556885,13556885,293319000,260370488
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Gazipur-3,473,41,29,79,65,6922015,6741714,33123,180302,7263439,611,6020593,8237364,8237364,165808000,150980832
OP Domain Chittagaon,Satkania Zone,Eidgaon Region,Coxs Bazar,474,76,63,109,89,7655564,7271116,52778,384448,9574463,850,6121751,10995049,10995049,199886000,182314909
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,Narsingdi-2,475,71,51,96,80,8853800,8511159,93537,342641,6079576,432,3305935,7685203,7685203,301557000,317061823
OP Domain Mymensingh,Netrokona Zone,Kishoreganj area,Kishoreganj-2,476,46,36,88,77,5883121,5667889,69115,215232,5399907,597,3492142,6325751,6325751,153385000,141976614
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Tulshighat,477,93,69,150,113,7469888,7245977,101521,223911,8001523,829,4628931,8851063,8851063,215101000,203886888
OP Domain Sylhet,Hobigonj Zone,Ashugonj Region,B BARIA,478,35,43,66,69,5729343,5172123,119591,557219,19073852,1468,14565347,21561632,21561632,170233000,173551766
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Tetli,479,75,82,140,148,11461804,10949675,96220,512129,10219125,880,5813469,11964141,11964141,327755000,317030975
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Chowmuhani-1,480,40,33,66,63,8057242,7847179,20190,210062,3276455,254,1461093,4389080,4389080,217396000,195548866
OP Domain Comilla,Comilla Zone,Comilla Region,Alekharchar,481,45,44,86,79,13458432,12814735,172339,643697,19581961,632,11399999,23144001,23144001,361257000,333464259
OP Domain Dhaka,Dhaka Zone,Kalyanpur Region,Hemayetpur,482,52,53,77,64,7633871,6556847,22656,1077023,18711831,1263,10885723,22949732,22949732,212800000,200057742
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Konabari,483,64,50,108,94,10244592,10075576,28144,169016,4693691,262,3821078,5618424,5618424,248789000,218975222
OP Domain Barisal,Faridpur Zone,Boalmari Region,Modhukhali-1,484,71,67,86,84,6701672,6367133,106536,334539,5657533,574,3493444,7267884,7267884,183227000,169988117
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Pahartali,485,48,32,87,72,7157787,6725251,27815,432536,8671494,702,5061122,10798395,10798395,218400000,235248880
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,Raozan,486,55,41,84,82,8798447,8715554,52903,82893,5688179,388,4304250,6115536,6115536,240848000,224093238
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,Nazirhat,487,57,75,95,78,10576573,10260264,40435,316309,5180731,428,2814342,6707283,6707283,285256000,260150952
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,Fatikchari,488,77,52,90,65,7596547,7406972,27365,189575,4367738,412,3115799,5478377,5478377,193553000,181200007
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Habiganj Sadar,489,60,42,116,99,9130547,8892649,35365,237898,6604160,673,4617239,7729060,7729060,243455000,228423479
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Katgor,490,61,56,104,108,8096328,7974317,15211,122012,1906709,208,1156907,2630213,2630213,243900000,258257460
OP Domain Chittagaon,Satkania Zone,Anowara Region,Patiya-2,491,49,54,74,86,5666194,5028905,71832,637289,11627249,1166,6855280,13737115,13737115,158905000,152704566
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Hat Hazari,492,45,43,92,86,9354322,8873483,23921,480838,8628054,728,5524522,10754067,10754067,242253000,221014995
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,Laxmipur-2,493,75,73,104,108,11858439,11570270,136648,288169,5681319,267,2629395,7156269,7156269,331981000,328050880
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,Sonapur-1,494,30,27,31,31,4440453,4379449,6346,61004,558565,72,246019,1100343,1100343,117279000,110127203
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Chandgaon,495,88,85,141,134,10232736,9801341,39498,431395,8921366,802,5502325,10538938,10538938,267148000,244305973
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Patharghata,496,91,44,138,97,9333138,8974653,21787,358486,8637799,697,6112077,9983231,9983231,225679000,202203166
OP Domain Comilla,Comilla Zone,Bagmara Region,Mudaffargonj,497,71,46,102,84,10119915,9728547,92359,391368,11270829,586,6196102,12847075,12847075,290440000,275337582
OP Domain Chittagaon,Feni Zone,Feni Region,Mohipal,498,46,32,53,47,5581442,5470933,70100,110508,5333095,329,3237900,6121164,6121164,150493000,140782273
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Dosmail-2,499,79,63,170,170,8555610,8135164,40574,420447,7469519,682,4061124,8727448,8727448,238088000,232358509
OP Domain Comilla,Comilla Zone,Chandina Region,Debidwar,500,49,41,87,72,8507389,8115716,41115,391673,5484006,324,1925635,7359651,7359651,238862000,224534964
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Joydebpur,501,69,43,101,66,7965145,7686799,39363,278347,8165846,572,6615941,9809257,9809257,198941000,178624098
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,Puran Bogura,502,124,102,199,185,12332818,11675124,97285,657694,9789076,637,6233227,12969477,12969477,392229000,383702753
OP Domain Comilla,Comilla West Zone,Gowripur Region,Gouripur,503,61,62,99,96,11330686,10948280,166993,382405,15001580,645,11298171,16490145,16490145,326780000,300563425
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Amishapara,504,54,30,74,46,10968679,10696864,35670,271815,4091132,188,1622130,5815936,5815936,309623000,293046023
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Sreepur-2,505,71,57,111,103,13485521,13108376,57722,377145,8802962,504,6150059,11182449,11182449,349491000,316112288
OP Domain Chittagaon,Chittagong South Zone,Nazirhat Region,Azadi Bazar,506,65,64,99,102,10273109,10013468,67040,259642,4264510,364,2372053,5728788,5728788,258248000,233831497
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,Chandraghona,507,83,57,130,114,10806261,10613191,20947,193070,5079318,410,3354056,5958115,5958115,278366000,256175387
OP Domain Khulna,Kushtia Zone,RAJBARI REGION,Pangsha,508,69,62,90,76,5413920,5257736,41017,156183,6514196,536,4886009,7149384,7149384,161330000,163933890
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,Rangunia,509,40,48,66,78,9545409,9284131,53606,261278,5319117,470,2951336,6534973,6534973,258598000,250246416
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Kumarkhali,510,64,53,79,68,3295343,3093958,72179,201385,12287095,1227,9262385,12918723,12918723,102917000,109118879
OP Domain Khulna,Satkhira Zone,Navaran Region,Jhkorgacha,511,98,68,118,93,6628966,6431877,136298,197089,14572641,1318,11244473,15397521,15397521,174706000,172083959
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Bheramara,512,84,65,113,99,6191757,5876198,123144,315558,14800482,1179,10641577,15854275,15854275,182817000,181365284
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Chawkbazar,513,101,78,152,126,9102460,8883261,23321,219199,15253621,1359,13536007,16179783,16179783,245162000,224981025
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Madanpur,514,102,74,127,107,8935657,8497318,27744,438340,10434382,816,6465452,12185742,12185742,231260000,199557187
OP Domain Mymensingh,Tangail Zone,Tangail Region,Kalihati-1,515,29,29,64,58,6907420,6610175,34849,297244,7668861,482,5143735,9259331,9259331,186558000,171363514
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,ARAIHAZAR,516,93,70,129,116,10850212,10404494,68223,445718,11900825,1044,8101114,13812664,13812664,285129000,254258476
OP Domain Chittagaon,Satkania Zone,Satkania Region,Dohazari,517,49,42,71,78,6204354,5947884,90242,256469,7195303,647,5352118,8362832,8362832,162385000,151596597
OP Domain Chittagaon,Satkania Zone,Satkania Region,Satkania-2,518,36,29,52,48,5000273,4636008,57469,364265,6339506,582,4492273,8098848,8098848,113270000,98814346
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Poradaho,519,91,65,116,96,5342582,5033956,129298,308626,15169051,1152,9910289,16518085,16518085,172372000,186028696
OP Domain Comilla,Comilla Zone,Comilla Region,Comilla-2,520,80,75,123,119,15455259,14983293,91977,471966,10581063,541,7210079,12555615,12555615,438717000,380108154
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Bijoynagar-1,521,105,80,141,116,11519258,11127307,1207,391951,8333825,672,5735533,10193194,10193194,274107000,245004558
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,Dhamrai,522,54,40,86,69,7083895,6380322,58436,703573,16988846,1140,10799965,19751811,19751811,197459000,180681243
OP Domain Comilla,Chandpur Zone,Chandpur Region,Chandpur-2,523,40,39,78,69,5708406,5538348,70317,170058,3646181,460,2086270,4794812,4794812,154096000,143761456
OP Domain Comilla,Laxmipur Zone,Raypur Region,Dalabazar,524,49,45,104,85,11244681,11125196,38931,119485,4439968,238,2725104,5001501,5001501,293210000,280836942
OP Domain Sylhet,Beanibazar Zone,Juri Region,Kulaura,525,75,54,154,117,12268248,12031479,75325,236769,4519022,445,1639522,5449529,5449529,320719000,287458725
OP Domain Comilla,Comilla Zone,Chandina Region,Dollai Nababpur,526,61,54,93,90,11596986,11381652,73260,215333,8416689,422,5808927,9232838,9232838,311748000,301623648
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Sirajdikhan,527,61,59,72,86,9215671,8795424,45688,420247,11287995,695,7296055,13018742,13018742,238397000,217634900
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Sakhipur-1,528,34,43,51,64,6612734,5958045,106004,654689,13181103,904,7507969,16469451,16469451,196083000,192679620
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Bondor,529,103,87,167,138,10456589,10136422,25967,320168,9892145,772,6940131,11501017,11501017,274370000,238409020
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,Companiganj-2,530,88,82,140,127,13445883,13182796,134056,263086,6448898,375,3445569,8096701,8096701,366762000,330735929
OP Domain Khulna,Khulna Zone,Khulna Region,Natun Bazar-1,531,93,71,134,112,7293044,6868603,71423,424440,11865430,1156,7241321,13602294,13602294,192975000,189110869
OP Domain Barisal,Faridpur Zone,Faridpur Region,Faridpur-3,532,60,48,97,94,6288492,6009260,73960,279232,9669713,899,7610969,10930300,10930300,175084000,172340768
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,Bosurhat,533,41,30,56,48,9158068,8868484,32010,289584,8878202,398,3973233,9525039,9525039,262845000,257848944
OP Domain Comilla,Comilla West Zone,Homna Region,Homna,534,101,96,118,117,13054645,12873234,47627,181411,4929960,243,3466644,5983670,5983670,344721000,313759394
OP Domain Barisal,Madaripur Zone,Shariatpur Region,Madaripur,535,70,64,126,121,11254646,10690581,124198,564065,12404356,895,7468996,14860272,14860272,296598000,279496243
OP Domain Barisal,Madaripur Zone,Mostofapur Region,Tekerhat,536,91,62,126,114,14888923,14331229,39706,557694,6373962,414,2625366,8491358,8491358,371689000,324032937
OP Domain Barisal,Faridpur Zone,Bhanga Region,Bhanga-1,537,63,53,89,85,6902799,6591897,74853,310902,8373808,764,5957511,9662671,9662671,187420000,176737295
OP Domain Khulna,Kushtia Zone,Alamdanga Region,Alamdanga,538,82,85,90,95,5798481,5408086,296600,390394,11617131,1158,7843235,13086673,13086673,168266000,173919690
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Ashulia,539,35,65,70,112,10020383,8873124,184227,1147260,19821241,1113,13786384,25164335,25164335,254606000,238120685
OP Domain Khulna,Kushtia Zone,CHUADANGA REGION,Jibon nagar,540,109,89,136,115,7041147,6679354,71952,361793,17807689,1228,12838444,19185875,19185875,207432000,197118560
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Garagonj,541,69,54,101,93,4501149,4434391,29005,66758,8655629,818,7812097,8941565,8941565,118552000,114502236
OP Domain Barisal,Faridpur Zone,Boalmari Region,Boalmari-1,542,54,61,79,81,6593021,6066297,30730,526723,7733468,655,4950162,10464879,10464879,179012000,164808776
OP Domain Barisal,Madaripur Zone,Shariatpur Region,Shariatpur,543,64,48,82,69,6705043,6403716,99687,301328,10208365,810,6686334,11510456,11510456,202323000,201117442
OP Domain Natore,Pabna Zone,Pabna Region,PUSPOPARA,544,63,55,99,87,6413359,6198503,42570,214856,6040630,500,4206915,7208236,7208236,175769000,166899560
OP Domain Barisal,Faridpur Zone,Faridpur Region,Goalundo,545,74,50,94,82,6116570,5882511,82659,234060,4355953,380,2551138,5448704,5448704,175540000,165273808
OP Domain Khulna,Jessore Zone,Jessore Region,Jessore-1,546,109,74,146,119,6888025,6587136,144300,300889,14871508,1298,11338335,15726357,15726357,190959000,190004290
OP Domain Natore,Natore Zone,Natore Region,Basudevpur,547,61,49,96,95,6255573,6084666,63907,170907,4404918,382,3007998,5320717,5320717,176046000,162423703
OP Domain Natore,Chatmohor Zone,Bonpara Region,Dhanaidah,548,56,52,103,102,6565790,6368680,38929,197109,4090950,427,2684042,4969942,4969942,180980000,164645117
OP Domain Natore,Natore Zone,Najirpur Region,Chanchkoir,549,50,42,79,78,5488405,5260042,46115,228363,6899998,591,5241277,7742129,7742129,149050000,141297354
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,GOPALDI,550,94,82,133,114,11043684,10730625,96378,313059,10024007,1359,7785950,11393382,11393382,260030000,227007541
OP Domain Natore,Puthia Zone,Taherpur Region,Taherpur-3,551,62,55,118,112,6359461,6052257,30274,307203,6242040,489,4091670,7439349,7439349,176104000,161682604
OP Domain Natore,Chatmohor Zone,Bonpara Region,ATGHORIA,552,62,57,95,84,5731324,5498034,64592,233289,7027293,661,5128431,8237569,8237569,154109000,138034286
OP Domain Sylhet,Hobigonj Zone,Ashugonj Region,SHORAIL,553,74,60,117,97,10708701,10134010,67572,574691,16238552,1086,11287285,19260540,19260540,298534000,292216737
OP Domain Khulna,Jessore Zone,Nowapara Region,Kashobpur,554,61,54,89,97,4412431,4195850,136553,216581,9060976,986,5781617,9843459,9843459,127823000,132238789
OP Domain Khulna,Kushtia Zone,CHUADANGA REGION,Sorojganj,555,96,86,124,114,7128948,6848971,40437,279977,13535778,1182,10550201,14622398,14622398,200751000,194133780
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Porabari,556,57,35,93,81,7034634,6799611,75281,235023,11430016,703,9898638,12988058,12988058,188555000,183215175
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Cherag Ali,557,78,71,136,111,9093671,8741681,81076,351989,7440417,630,4969927,8740105,8740105,235497000,199072581
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Dhaka South,558,76,78,131,133,9726133,9556892,56361,169241,3833673,423,2381628,4817452,4817452,258177000,239214279
OP Domain Bogra,Bogra North Zone,Sibganj Region,Guzia,559,85,75,163,153,8215379,7787190,18045,428189,7571952,593,4513500,8988157,8988157,245539000,228844646
OP Domain Sylhet,Moulvibazar Zone,Auskandi Region,Nabiganj-1,560,72,59,111,89,12373943,11898472,17288,475472,6620578,466,2861738,8591157,8591157,340140000,320424520
OP Domain Khulna,Khulna Zone,Bagerhat Region,Kochua-3,561,45,38,68,58,4465872,4250587,80233,215285,11442531,947,9030331,12217369,12217369,125279000,127548793
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Tindighi,562,84,68,142,128,8810207,8634418,53400,175790,5095334,524,3451962,5731659,5731659,251907000,241377393
OP Domain Rajshahi,Naogaon Zone,Manda Region,Satihat,563,59,54,113,105,5218506,4592512,48165,625995,15810056,1359,8392273,17868371,17868371,175701000,175485451
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Dhorpara,564,79,57,136,93,9235145,8930595,53215,304550,5127461,446,2995178,6855689,6855689,239875000,210540251
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Dighir Hat,565,152,127,496,485,16696810,16599856,6824,96954,1595685,100,747581,1615634,1615634,413665000,387740074
OP Domain Natore,Natore Zone,Najirpur Region,Singra-2,566,83,86,140,154,7988341,7751852,90108,236489,5582356,528,3228852,6526474,6526474,231994000,226453077
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,Hat Gangopara,567,92,80,165,159,9486695,8553168,123797,933527,12654471,1102,6938596,16022195,16022195,266394000,251163334
OP Domain Khulna,Satkhira Zone,Navaran Region,Navaron,568,108,58,127,95,6339152,6252110,88380,87041,6265994,430,4402641,6605424,6605424,169975000,161037906
OP Domain Khulna,Kushtia Zone,RAJBARI REGION,Baliakandi,569,53,48,59,77,4827804,4542404,109539,285400,12841518,980,9008800,13887210,13887210,141874000,144593661
OP Domain Khulna,Jessore Zone,Jessore Region,Barinagor,570,86,63,83,66,4331492,4115274,73622,216219,12266308,1232,9874937,13138854,13138854,118568000,116031764
OP Domain Natore,Pabna Zone,Bongram Region,SUJANAGOR,571,62,48,102,88,6502790,6183150,119871,319641,10537564,617,7658876,12095057,12095057,190997000,175721225
OP Domain Natore,Pabna Zone,Pabna Region,DOGASI,572,76,62,122,107,6397400,6105097,70903,292303,4554537,536,2762397,6406784,6406784,176528000,171967148
OP Domain Natore,Natore Zone,Walia Region,Moukhara,573,60,52,97,97,5678644,5395157,91742,283487,7171481,607,4913290,8490366,8490366,162788000,155156948
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Bodorgonj,574,86,83,175,178,8642211,8210258,39027,431953,11514966,963,8220111,13038319,13038319,243846000,236949615
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Binnakuri,575,55,46,109,105,5721488,5536662,52892,184827,7015309,532,4661159,7544723,7544723,165729000,158238659
OP Domain Chittagaon,Feni Zone,Gunoboti Region,Rajapur-2,576,37,30,62,58,7150990,6949536,132603,201454,4508082,329,2041192,5602784,5602784,200302000,191845301
OP Domain Comilla,Comilla Zone,Choddogram Region,Bangodda,577,30,28,55,54,7977706,7741605,142260,236101,7168653,536,2587883,8667538,8667538,230443000,225680613
OP Domain Chittagaon,Feni Zone,Feni Region,Laskarhat,578,50,41,68,62,7121217,6892406,28223,228812,4286300,315,1906967,5530198,5530198,204727000,193081190
OP Domain Khulna,Satkhira Zone,Navaran Region,Bagasra,579,108,91,113,104,6106664,5801997,84308,304668,6909712,633,4301144,8520933,8520933,159700000,150060696
OP Domain Khulna,Jessore Zone,Nowapara Region,Nowapara-1,580,81,46,98,72,5051166,4845694,38142,205471,8946343,788,6176523,9767397,9767397,127032000,125980251
OP Domain Comilla,Laxmipur Zone,Alexander Region,Lorence,581,68,54,104,79,11790221,11737454,21088,52767,1501546,134,473008,1816114,1816114,310205000,284402381
OP Domain Comilla,Comilla West Zone,Gowripur Region,Bhaberchar,582,44,37,65,58,6947949,6820242,174246,127707,6467291,358,5192327,7472369,7472369,194257000,181311255
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,KATAKHALI-3,583,125,115,172,162,7820513,7534641,79437,285872,7176292,694,4714358,8482991,8482991,218607000,212068412
OP Domain Mymensingh,Gazipur Zone,Gazipur Region,Gazipur-2,584,75,58,130,105,8516314,8211176,43541,305137,6058667,478,3524955,7811205,7811205,218691000,194718229
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Fulbari-3,585,84,65,197,145,8066188,7686391,42759,379798,7368965,697,4961735,8706867,8706867,219329000,211638087
OP Domain Barisal,Madaripur Zone,Vedorgonj Region,Noria-1,586,75,44,89,68,7258570,6914935,105574,343636,9311549,592,5621346,10459571,10459571,216491000,209687897
OP Domain Barisal,Madaripur Zone,Mostofapur Region,Kalkini-2,587,85,63,98,86,8012460,7725767,54769,286692,5944582,346,3204114,7679013,7679013,228698000,210981799
OP Domain Chittagaon,Feni Zone,Feni Region,Feni-2,588,54,36,107,82,8078233,7806473,45549,271760,6846915,676,4327477,8746687,8746687,223957000,219299624
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Fenchuganj,589,78,91,143,151,11701065,11292312,101553,408752,5574348,692,2307751,7821292,7821292,314563000,284882326
OP Domain Mymensingh,Tangail Zone,Tangail Region,Pathrail,590,34,47,55,73,4625087,4221520,109100,403568,7019765,569,4370179,9504091,9504091,133635000,124951644
OP Domain Sylhet,Hobigonj Zone,Madhobpur Region,Chunarughat-1,591,58,44,91,77,9557305,8989700,74915,567604,4511285,613,1565122,7189197,7189197,260170000,252866483
OP Domain Khulna,Kushtia Zone,Alamdanga Region,Jhaudia,592,84,61,101,79,3994100,3810931,28231,183169,7858442,666,5779045,8667524,8667524,116795000,119616244
OP Domain Mymensingh,Gazipur Zone,Sreepur Region,Bagher Bazar,593,77,52,103,87,10522814,10172563,42341,350251,12112325,740,9598961,15023744,15023744,266273000,241978925
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Joinabazar,594,59,47,93,75,7064520,6826337,61129,238183,6351986,402,4056536,7707775,7707775,185368000,169500113
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Darusha,595,86,88,128,124,5203731,4943830,40341,259901,5002870,574,3225366,5918814,5918814,153493000,146350717
OP Domain Bogra,Bogra South Zone,Dhunat Region,Sonahata,596,80,79,129,123,7145871,6706261,92573,439610,13174664,895,9839595,15671126,15671126,241284000,235482499
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Basail,597,29,30,51,52,3971470,3801327,25861,170143,2877883,210,1982208,3487843,3487843,115950000,108836995
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Joypurhat-3,598,82,68,183,182,7756392,7349896,25161,406496,12321273,1206,8893021,13958652,13958652,243048000,234092053
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Rajabari,599,40,35,52,51,5703641,5350683,36855,352957,5254470,378,3171986,6539747,6539747,146668000,134440963
OP Domain Comilla,Comilla West Zone,Homna Region,Bancharampur-1,600,80,62,99,87,12596495,12563865,39241,32630,1821561,94,1494280,2012028,2012028,311988000,255087064
OP Domain Comilla,Chandpur Zone,Motlob Region,Kochua-4,601,49,49,73,67,8443779,8126678,42077,317100,10212752,589,7106644,11817756,11817756,223950000,202518602
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,Mandari Bazar,602,65,54,92,72,11245146,11037514,50132,207632,4542258,258,2242672,5759051,5759051,312840000,285161239
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,B-Block,603,63,55,119,106,7653254,7278993,68129,374261,15068074,1065,10904266,17235061,17235061,223572000,217982322
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Oxygen,604,61,55,107,97,8121743,7948480,39577,173263,3151030,306,2120110,3977932,3977932,194199000,172409309
OP Domain Mymensingh,Tangail Zone,Ghatail Region,Garobazar,605,45,31,84,66,8008759,7840883,147477,167875,3800068,417,2436059,4838714,4838714,200774000,173981920
OP Domain Mymensingh,Tangail Zone,Tangail Region,Bhuyanpur,606,49,51,85,84,6866478,6605067,56842,261412,6206398,531,3575325,7830243,7830243,179042000,163069561
OP Domain Mymensingh,Gazipur Zone,Valuka Region,Batazore,607,52,35,71,46,5277461,5119516,144171,157945,9126968,579,6622424,9839460,9839460,133860000,119833022
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Ramshagor,608,111,104,246,225,9236824,9074119,38525,162705,3496240,377,1984944,4248222,4248222,269608000,252084539
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Kathalbari,609,78,51,170,150,9340322,8866990,223507,473332,14241526,1280,9329222,16605914,16605914,258066000,229239461
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Chilmari,610,43,30,105,86,5575624,5292689,38732,282935,11011792,1164,8816677,12101458,12101458,145735000,135439075
OP Domain Rajshahi,Naogaon Zone,Manda Region,Manda-2,611,115,83,174,149,6993087,6777744,61760,215343,6453312,632,2889204,7506305,7506305,208068000,200710987
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Ghoradhap,612,90,83,249,292,11392526,11217675,10082,174851,2697001,268,1402243,3623058,3623058,312126000,297414055
OP Domain Natore,Pabna Zone,Bongram Region,Bongram,613,89,66,106,100,7466591,7229108,129552,237483,6649228,424,4631672,7513459,7513459,206105000,197097509
OP Domain Natore,Pabna Zone,Pabna Region,Meril Road,614,41,36,77,72,5005797,4775967,69609,229830,5151574,402,3411692,6395384,6395384,137624000,131887208
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Khansama,615,127,94,219,186,10201355,9857329,68312,344026,9321104,954,6071236,10700324,10700324,273079000,247386644
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Hatpangashi,616,57,53,110,107,4544055,4386344,48927,157710,3610114,374,2377974,4543216,4543216,117272000,106891831
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Baghabari,617,56,41,87,74,4832412,3974081,38009,858332,8545550,1012,3822854,12327226,12327226,131029000,123592304
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Co Bazar,618,89,55,140,122,7927899,7531358,91726,396541,12072779,932,8282325,13225143,13225143,219679000,213719456
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Matajihat,619,100,82,273,248,9879148,9628494,53114,250654,8169532,651,4887234,8945524,8945524,395282000,385542980
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Gasbari-1,620,66,65,110,104,5500806,5411247,55975,89559,4521541,583,4043880,4881389,4881389,143214000,134450911
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Allahardorga,621,85,73,116,108,6114050,5903942,120659,210108,7241898,588,4736415,7891966,7891966,183335000,179256119
OP Domain Rangpur,Rangpur Zone,Modern Region,Mahigonj,622,67,56,134,121,7287498,6845917,57285,441581,8628926,945,5629464,10632471,10632471,203761000,191119431
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Betgari,623,41,30,82,69,4542612,4332568,59479,210044,8547121,633,6949570,9470303,9470303,123647000,116842175
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Hatlokkhipur,624,78,53,160,144,9440703,9078078,99440,362625,13288255,1101,9821129,14788717,14788717,253785000,239457727
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Islampur-1,625,91,78,171,161,6362032,6352266,12392,9766,1515930,112,1299237,1572707,1572707,167918000,155878228
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Chayani,626,30,24,35,35,5430262,5395950,21089,34313,1162709,81,557471,1295365,1295365,163264000,156160111
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Binodpur,627,77,63,116,114,5227423,5184866,38667,42557,1908658,230,1497343,2090073,2090073,133955000,121502289
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,Sonagazi,628,36,42,55,48,5682945,5388045,31631,294900,4111075,322,1670381,5731830,5731830,154333000,140263385
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Kankirhat,629,49,38,61,51,6677821,6332529,63186,345292,6056373,394,2066162,7847601,7847601,181250000,166272517
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Jalkar-2,630,76,57,187,174,10204894,9756154,18825,448740,11113311,912,7215269,12897747,12897747,276657000,264077203
